Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Red de datos del Ayuntamiento de Madrid;sector-publico;Teléfonos,Terminales,smartphones,tabletas,módems, 4G,,LTE, GSM, GRPS;06/04/2018;30/01/2024;;09/02/2023;anual;Informática del Ayuntamiento de Madrid;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3259;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=8fe79052b5662610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Histórico de trabajos planificados;transporte;Incidencias,accidentes,Histórico,planificados,calle 30, m30;04/04/2018;14/02/2025;01/01/2016;31/12/2024;anual;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;11224;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=437ce0f3e8e22610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Histórico de incidencias y accidentes;transporte;Incidencias,accidentes,Histórico, calle 30, m30;04/04/2018;14/02/2025;01/01/2016;31/12/2024;anual;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;13106;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6e1ce0f3e8e22610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tipos de residuos y dónde depositarlos;medio-ambiente;tipo,residuo, cubos, basura, reciclar;12/03/2018;28/05/2025;;28/05/2025;anual;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;12165;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4a58dfb462a12610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos limpios de proximidad;medio-ambiente;puntos,limpios,proximidad;05/03/2018;08/04/2025;;07/04/2025;trimestral;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;48654;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b0423150b95f1610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Campañas de aforos de bici, motos y peatonales;transporte;aforro,trafico;07/03/2018;14/05/2024;01/01/2008;30/11/2023;anual;Dirección General de Planificación e Infraestructuras de Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;21199;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d7d67271481e1610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Contenedores de aceite vegetal usado;medio-ambiente;Contenedor,aceite,vegetal,usado,;28/02/2018;01/08/2025;;31/07/2025;trimestral;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;113653;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=11a0c4d8d2cd1610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Autorizaciones administrativas que permiten actuaciones urbanísticas en suelo de dominio público;urbanismo-infraestructuras;autorizaciones, actuaciones urbanísticas, suelo público;16/03/2018;13/10/2025;01/01/2015;;mensual;Dirección General de Edificación, Agencia de Actividades, Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;14808;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=dae82adb093b1610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Consultas urbanísticas comunes y especiales;urbanismo-infraestructuras;autorizaciones, actuaciones urbanísticas, suelo público;16/03/2018;13/10/2025;01/01/2015;;mensual;Agencia de Actividades, Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;12886;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7966ecdd323b1610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Licencias urbanísticas otorgadas y declaraciones responsables;urbanismo-infraestructuras;Licencias, urbanismo, contenedores, declaración responsable;16/03/2018;13/10/2025;01/01/2015;;mensual;Dirección General de Edificación, Agencia de Actividades, Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;12504;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9f1d5601433b1610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
